method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std,priority_response_efficiency_mean,priority_response_efficiency_std
DRF-RH-BaseScoreOnly,19.933333333333334,0.2537081317024624,429.8666666666667,48.170482687002945,816.1111111111111,80.8353576394629,193.42025813692482,67.62461402539988,328.7485883559056,52.2513151712654,62.0,25.91764144228858,83.38595320431826,6.1592518225563495,0.1466043503100546,0.06495848483125478
DRF-RH-Full,19.933333333333334,0.2537081317024624,222.26666666666668,25.981337245366554,470.11111111111114,43.64813446644683,121.1273709315376,40.92085271472237,184.2017578573952,20.78631531269421,59.333333333333336,28.51899951494325,85.42412713868544,6.611956097275097,0.270480861060738,0.1409014923189656
DRF-RH-Horizon1,19.933333333333334,0.2537081317024624,205.76666666666668,24.99335543883522,442.6111111111111,42.08339497738362,128.68786475869808,47.36605733985649,182.74832627841906,18.115843010046543,52.0,30.894704378269907,35.785123998842515,5.884829395870449,0.2518433500679945,0.14506324690797823
DRF-RH-NoDeadlinePenalty,19.933333333333334,0.2537081317024624,222.26666666666668,25.981337245366554,470.11111111111114,43.64813446644683,121.1273709315376,40.92085271472237,184.2017578573952,20.78631531269421,59.333333333333336,28.51899951494325,85.39130443629499,6.864137273185654,0.270480861060738,0.1409014923189656
DRF-RH-NoDynamicRiskField,19.933333333333334,0.2537081317024624,222.26666666666668,25.981337245366554,470.11111111111114,43.64813446644683,121.1273709315376,40.92085271472237,184.2017578573952,20.78631531269421,59.333333333333336,28.51899951494325,83.90579866245389,7.411523401130074,0.270480861060738,0.1409014923189656
DRF-RH-NoHybridPool,19.933333333333334,0.2537081317024624,222.93333333333334,25.07634320441773,471.22222222222223,42.14764536978447,123.13632154882156,40.716526782222765,184.7965072258234,20.02907813651901,59.333333333333336,28.031181324317775,77.8968804962157,7.150272958391268,0.2680791765585392,0.13524371238812935
DRF-RH-NoPathTimePenalty,19.933333333333334,0.2537081317024624,274.1333333333333,28.720692208224026,556.5555555555555,48.21514152510679,111.52248877665545,28.932393152330828,198.9989790489148,27.346296928483746,63.333333333333336,27.3336136795267,84.5856298323876,6.54579178988094,0.2341829544130142,0.10674626215364133
DRF-RH-NoPriorityCompletion,19.933333333333334,0.2537081317024624,245.96666666666667,25.665599320992822,509.6111111111111,43.261840523331365,123.95485409652078,28.586839117005326,204.1416336715348,22.85483859553633,64.0,27.990146049316515,86.08257695838499,6.9337866316529935,0.2613002769703743,0.11955524710902786
DRF-RH-NoTopKBonus,19.933333333333334,0.2537081317024624,216.76666666666668,25.124082873408238,460.94444444444446,42.197045831240146,140.57321829405163,39.222332421608094,184.14970753477286,21.465236958754183,49.333333333333336,26.64366824352954,84.81752499938011,6.807398036022809,0.2293276976167738,0.13000446733679574
