obstacle_ratio,method,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
0.1,FS,402.85,179.08721717624684,771.4166666666666,338.5149278879932,397.48858849483855,210.9576150844902,2.27125,1.048888881432738
0.1,NNF,150.98333333333332,43.65833900839278,351.63888888888886,111.09728845282125,155.5314195064195,70.40642413579499,32.63731666666667,22.46341095678207
0.1,AStarOnly,150.58333333333334,41.903558227081334,350.97222222222223,108.58154601191555,154.75585232668567,68.24356308574616,32.9012,22.70584830569772
0.1,Proposed,240.9,91.07785829270713,501.49999999999994,191.36680055341094,147.1096628679962,68.8435330276722,30.9499,21.00529678615792
0.2,FS,425.95,184.46931902356266,809.9166666666666,346.95520165947755,429.25318462401793,229.30525442871823,2.1895166666666674,1.029560733906582
0.2,NNF,157.08333333333334,43.140798915567686,361.80555555555554,111.01877637067722,173.8239478114478,78.51815274816535,28.871933333333335,20.74235162359457
0.2,AStarOnly,161.35,45.96934313729723,368.91666666666674,115.89690569436783,174.03633758217092,83.70405303660466,29.498549999999998,21.35654508133319
0.2,Proposed,252.53333333333333,95.71115916496136,520.8888888888889,199.03686801035064,158.43048340548341,82.54911968215164,28.874700000000004,20.763155117104656
0.3,FS,477.26666666666665,225.10403370153225,893.7777777777778,414.93423646414334,483.4935085747586,251.5919885373613,2.5343999999999998,1.2521843585497345
0.3,NNF,176.6,67.36221341828198,392.6666666666667,148.71141430893164,177.23836541544875,87.73929869981778,33.16546666666667,25.815264889285075
0.3,AStarOnly,177.75,67.37766692309849,394.58333333333337,148.68146951967844,179.1277888777889,95.35661156946774,33.12201666666667,25.601479904583687
0.3,Proposed,289.78333333333336,129.06969496435673,581.3055555555555,253.83445301114597,165.2293687793688,90.70098385420755,32.0363,24.03338095677675
